time,   voltage,    leftMode,    rightMode
56565,  7772,   0,      0
56570,  7782,   0,      0
56575,  7858,   0,      0
56580,  7793,   0,      0
56585,  7804,   0,      0
56590,  7879,   0,      0
56595,  7847,   0,      0
56600,  7847,   0,      0
56605,  7858,   0,      0
56610,  7847,   0,      0
56615,  7869,   0,      0
56620,  7847,   0,      0
56625,  7782,   0,      0
56630,  7847,   0,      0
56635,  7847,   0,      0
56640,  7858,   0,      0
56645,  7804,   0,      0
56650,  7804,   0,      0
56655,  7793,   0,      0
56660,  7858,   0,      0
56665,  7804,   0,      0
56670,  7869,   0,      0
56675,  7782,   0,      0
56680,  7858,   0,      0
56685,  7847,   0,      0
56690,  7782,   0,      0
56695,  7804,   0,      0
56700,  7858,   0,      0
56705,  7782,   0,      0
56710,  7869,   0,      0
56715,  7879,   0,      0
56720,  7804,   0,      0
56725,  7869,   0,      0
56730,  7847,   0,      0
56735,  7804,   0,      0
56740,  7804,   0,      0
56745,  7804,   0,      0
56750,  7847,   0,      0
56755,  7804,   0,      0
56760,  7815,   0,      0
56765,  7879,   0,      0
56770,  7901,   0,      0
56775,  7804,   0,      0
56780,  7922,   0,      0
56785,  7782,   0,      0
56790,  7869,   0,      0
56795,  7804,   0,      0
56800,  7847,   0,      0
56805,  7782,   0,      0
56810,  7869,   0,      0
56815,  7847,   0,      0
56820,  7869,   0,      0
56825,  7847,   0,      0
56830,  7782,   0,      0
56835,  7869,   0,      0
56840,  7858,   0,      0
56845,  7879,   0,      0
56850,  7901,   0,      0
56855,  7869,   0,      0
56860,  7858,   0,      0
56865,  7804,   0,      0
56870,  7804,   0,      0
56875,  7858,   0,      0
56880,  7869,   0,      0
56885,  7815,   0,      0
56890,  7804,   0,      0
56895,  7847,   0,      0
56900,  7815,   0,      0
56905,  7804,   0,      0
56910,  7804,   0,      0
56915,  7879,   0,      0
56920,  7847,   0,      0
56925,  7793,   0,      0
56930,  7782,   0,      0
56935,  7869,   0,      0
56940,  7782,   0,      0
56945,  7869,   0,      0
56950,  7804,   0,      0
56955,  7858,   0,      0
56960,  7804,   0,      0
56965,  7847,   0,      0
56970,  7836,   0,      0
56975,  7804,   0,      0
56980,  7879,   0,      0
56985,  7869,   0,      0
56990,  7804,   0,      0
56995,  7804,   0,      0
57000,  7793,   0,      0
57005,  7815,   0,      0
57010,  7782,   0,      0
57015,  7782,   0,      0
57020,  7815,   0,      0
57025,  7804,   0,      0
57030,  7804,   0,      0
57035,  7847,   0,      0
57040,  7815,   0,      0
57045,  7804,   0,      0
57050,  7804,   0,      0
57055,  7836,   0,      0
57060,  7804,   0,      0
57065,  7858,   0,      0
57070,  7793,   0,      0
57075,  7804,   0,      0
57080,  7804,   0,      0
57085,  7804,   0,      0
57090,  7793,   0,      0
57095,  7847,   0,      0
57100,  7815,   0,      0
57105,  7804,   0,      0
57110,  7847,   0,      0
57115,  7761,   0,      0
57120,  7879,   0,      0
57125,  7858,   0,      0
57130,  7869,   0,      0
57135,  7858,   0,      0
57140,  7858,   0,      0
57145,  7804,   0,      0
57150,  7804,   0,      0
57155,  7782,   0,      0
57160,  7858,   0,      0
57165,  7815,   0,      0
57170,  7847,   0,      0
57175,  7804,   0,      0
57180,  7815,   0,      0
57185,  7815,   0,      0
57190,  7869,   0,      0
57195,  7815,   0,      0
57200,  7879,   0,      0
57205,  7847,   0,      0
57210,  7922,   0,      0
57215,  7815,   0,      0
57220,  7815,   0,      0
57225,  7847,   0,      0
57230,  7793,   0,      0
57235,  7804,   0,      0
57240,  7793,   0,      0
57245,  7793,   0,      0
57250,  7815,   0,      0
57255,  7804,   0,      0
57260,  7804,   0,      0
57265,  7804,   0,      0
57270,  7804,   0,      0
57275,  7869,   0,      0
57280,  7869,   0,      0
57285,  7782,   0,      0
57290,  7804,   0,      0
57295,  7847,   0,      0
57300,  7804,   0,      0
57305,  7772,   0,      0
57310,  7858,   0,      0
57315,  7858,   0,      0
57320,  7804,   0,      0
57325,  7869,   0,      0
57330,  7804,   0,      0
57335,  7815,   0,      0
57340,  7772,   0,      0
57345,  7804,   0,      0
57350,  7804,   0,      0
57355,  7858,   0,      0
57360,  7804,   0,      0
57365,  7804,   0,      0
