x,y,theta,v,omega
-0.05, 0.03, -1.19, 0.11, 0.71
-0.04, 0.02, -0.96, 0.11, 0.70
-0.03, 0.01, -0.73, 0.12, 0.71
-0.02, 0.01, -0.50, 0.12, 0.74
-0.01, 0.00, -0.26, 0.12, 0.73
-0.00, 0.00, -0.03, 0.12, 0.72
0.01, 0.00, 0.20, 0.11, 0.70
0.02, 0.00, 0.43, 0.12, 0.74
0.03, 0.01, 0.67, 0.12, 0.71
0.04, 0.02, 0.90, 0.12, 0.74
0.05, 0.03, 1.13, 0.12, 0.74
0.05, 0.04, 1.36, 0.12, 0.73
0.05, 0.05, 1.60, 0.11, 0.70
0.05, 0.06, 1.83, 0.12, 0.73
0.05, 0.08, 2.06, 0.12, 0.73
0.04, 0.09, 2.29, 0.11, 0.69
0.03, 0.09, 2.52, 0.11, 0.69
0.02, 0.10, 2.75, 0.11, 0.70
0.01, 0.10, 2.98, 0.11, 0.71
-0.00, 0.10, -3.07, 0.12, 0.73
-0.02, 0.10, -2.84, 0.12, 0.73
-0.03, 0.10, -2.61, 0.12, 0.72
-0.04, 0.09, -2.38, 0.12, 0.72
-0.04, 0.08, -2.15, 0.11, 0.71
-0.05, 0.07, -1.92, 0.12, 0.74
-0.05, 0.06, -1.69, 0.12, 0.73
-0.05, 0.05, -1.45, 0.11, 0.70
-0.05, 0.03, -1.22, 0.11, 0.70
-0.04, 0.02, -0.99, 0.12, 0.72
-0.04, 0.01, -0.76, 0.12, 0.73
-0.03, 0.01, -0.53, 0.12, 0.73
-0.02, 0.00, -0.30, 0.12, 0.72
-0.00, 0.00, -0.07, 0.11, 0.70
0.01, 0.00, 0.17, 0.12, 0.73
0.02, 0.00, 0.40, 0.12, 0.74
0.03, 0.01, 0.62, 0.11, 0.69
0.04, 0.02, 0.86, 0.11, 0.70
00.05, 0.03, 1.07, 0.10, 0.65
0.05, 0.04, 1.29, 0.11, 0.67
0.05, 0.05, 1.51, 0.10, 0.61
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
0.05, 0.05, 1.55, 0.00, 0.00
